tecnico,,tempo
Abel Ferreira,16,70
Abel Ferreira,20,56
Abel Ferreira,38,69
Abel Ferreira,60,56
Abel Ferreira,91,68
Abel Ferreira,96,62
Abel Ferreira,118,60
Abel Ferreira,139,59
Abel Ferreira,160,45
Abel Ferreira,170,62
Abel Ferreira,189,59
Abel Ferreira,220,62
Abel Ferreira,238,58
Abel Ferreira,254,69
Abel Ferreira,273,67
Abel Ferreira,304,64
Abel Ferreira,324,67
Abel Ferreira,338,72
Abel Ferreira,376,66
Abel Ferreira,385,60
Abel Ferreira,411,73
Abel Ferreira,427,68
Abel Ferreira,449,68
Abel Ferreira,460,66
Abel Ferreira,491,60
Abel Ferreira,507,57
Abel Ferreira,527,45
Abel Ferreira,573,45
Abel Ferreira,585,45
Abel Ferreira,608,79
Abel Ferreira,623,60
Abel Ferreira,642,65
Abel Ferreira,662,76
Abel Ferreira,674,76
Abel Ferreira,695,61
Abel Ferreira,709,70
Abel Ferreira,733,72
Abel Ferreira,744,[]
Alberto Valentim,0,70
Alberto Valentim,235,58
Alberto Valentim,255,62
Alberto Valentim,277,75
Alberto Valentim,287,79
Alberto Valentim,301,43
Alberto Valentim,318,66
Alberto Valentim,356,71
Alberto Valentim,364,63
Alberto Valentim,605,51
Alberto Valentim,626,59
Alberto Valentim,647,73
Alberto Valentim,675,72
Alberto Valentim,692,71
Alberto Valentim,719,45
Alberto Valentim,727,74
António Oliveira,42,81
António Oliveira,59,78
António Oliveira,77,76
António Oliveira,98,83
António Oliveira,123,78
António Oliveira,137,75
António Oliveira,161,56
António Oliveira,180,70
António Oliveira,212,77
António Oliveira,397,70
António Oliveira,403,66
António Oliveira,435,45
António Oliveira,447,63
António Oliveira,466,57
António Oliveira,486,65
António Oliveira,511,62
António Oliveira,531,51
António Oliveira,550,62
António Oliveira,563,70
Bruno Lopes,538,54
Cauan,33,59
Cauan,418,67
Cuca,3,62
Cuca,22,75
Cuca,45,69
Cuca,74,89
Cuca,90,73
Cuca,119,45
Cuca,131,64
Cuca,147,78
Cuca,195,62
Cuca,217,60
Cuca,233,62
Cuca,245,45
Cuca,268,67
Cuca,288,69
Cuca,296,84
Cuca,302,78
Cuca,328,74
Cuca,346,67
Cuca,361,45
Cuca,398,83
Cuca,409,54
Cuca,433,53
Cuca,442,58
Cuca,462,66
Cuca,479,63
Cuca,488,56
Cuca,521,45
Cuca,546,72
Cuca,554,59
Cuca,568,61
Cuca,586,61
Cuca,606,64
Cuca,637,69
Cuca,658,60
Cuca,698,79
Cuca,718,59
Cuca,734,67
Cuca,754,67
Dado Cavalcanti,1,73
Dado Cavalcanti,25,56
Dado Cavalcanti,39,82
Dado Cavalcanti,55,45
Dado Cavalcanti,68,59
Dado Cavalcanti,88,62
Dado Cavalcanti,112,59
Dado Cavalcanti,132,74
Dado Cavalcanti,153,71
Dado Cavalcanti,391,65
Dado Cavalcanti,412,71
Dado Cavalcanti,440,72
Dado Cavalcanti,459,74
Dado Cavalcanti,481,71
Dado Cavalcanti,499,74
Dado Cavalcanti,518,68
Diego Aguirre,69,80
Diego Aguirre,94,45
Diego Aguirre,113,45
Diego Aguirre,128,45
Diego Aguirre,154,80
Diego Aguirre,198,45
Diego Aguirre,208,71
Diego Aguirre,239,45
Diego Aguirre,249,63
Diego Aguirre,263,45
Diego Aguirre,269,67
Diego Aguirre,292,58
Diego Aguirre,312,56
Diego Aguirre,332,75
Diego Aguirre,348,55
Diego Aguirre,367,59
Diego Aguirre,432,55
Diego Aguirre,443,45
Diego Aguirre,458,45
Diego Aguirre,477,65
Diego Aguirre,503,60
Diego Aguirre,523,79
Diego Aguirre,543,66
Diego Aguirre,553,70
Diego Aguirre,572,62
Diego Aguirre,597,[]
Diego Aguirre,603,61
Diego Aguirre,634,68
Diego Aguirre,663,45
Diego Aguirre,687,61
Diego Aguirre,700,61
Diego Aguirre,720,57
Diego Aguirre,759,45
Diego Dabove,179,58
Diego Dabove,196,75
Diego Dabove,555,80
Diego Dabove,566,57
Diego Dabove,588,62
Diego Dabove,602,62
Diogo Giacomini,253,71
Eduardo Barroca,10,89
Eduardo Barroca,35,87
Eduardo Barroca,49,69
Eduardo Barroca,65,77
Eduardo Barroca,92,73
Eduardo Barroca,111,55
Eduardo Barroca,134,64
Eduardo Barroca,157,45
Eduardo Barroca,173,78
Eduardo Barroca,190,63
Eduardo Barroca,213,75
Eduardo Barroca,225,53
Eduardo Barroca,257,61
Eduardo Barroca,272,77
Eduardo Barroca,388,87
Eduardo Barroca,422,73
Eduardo Barroca,454,45
Eduardo Barroca,465,77
Eduardo Barroca,482,79
Eduardo Barroca,496,45
Eduardo Barroca,502,79
Eduardo Barroca,524,74
Eduardo Barroca,533,45
Eduardo Barroca,579,45
Eduardo Barroca,595,76
Eduardo Barroca,614,45
Eduardo Barroca,664,60
Eduardo Barroca,670,67
Eduardo Barroca,684,45
Eduardo Souza,622,44
Eduardo Zuma,532,60
Emerson Ávila,739,84
Felipe Endres,299,63
Felipe Endres,317,45
Felipe Endres,330,60
Felipe Endres,358,66
Felipe Endres,369,71
Felipe Endres,666,75
Felipe Endres,669,70
Felipe Endres,702,59
Felipe Endres,732,45
Felipe Endres,752,76
Fernando Diniz,12,81
Fernando Diniz,19,80
Fernando Diniz,43,79
Fernando Diniz,62,80
Fernando Diniz,70,62
Fernando Diniz,86,82
Fernando Diniz,122,75
Fernando Diniz,140,66
Fernando Diniz,163,74
Fernando Diniz,168,78
Fernando Diniz,381,73
Fernando Diniz,414,58
Fernando Diniz,434,58
Fernando Diniz,456,73
Fernando Diniz,476,45
Fernando Diniz,494,45
Fernando Diniz,513,58
Fernando Diniz,558,45
Fábio Carille,186,63
Fábio Carille,240,55
Fábio Carille,264,45
Fábio Carille,275,67
Fábio Carille,294,50
Fábio Carille,303,65
Fábio Carille,322,45
Fábio Carille,341,45
Fábio Carille,375,60
Fábio Carille,577,77
Fábio Carille,589,60
Fábio Carille,611,74
Fábio Carille,625,74
Fábio Carille,639,62
Fábio Carille,657,70
Fábio Carille,689,61
Fábio Carille,713,45
Fábio Carille,728,65
Fábio Carille,748,84
Gustavo Florentín,167,60
Gustavo Florentín,192,59
Gustavo Florentín,211,59
Gustavo Florentín,224,67
Gustavo Florentín,232,63
Gustavo Florentín,259,66
Gustavo Florentín,284,66
Gustavo Florentín,306,57
Gustavo Florentín,327,70
Gustavo Florentín,357,82
Gustavo Florentín,370,74
Gustavo Florentín,560,71
Gustavo Florentín,575,45
Gustavo Florentín,601,63
Gustavo Florentín,630,68
Gustavo Florentín,653,66
Gustavo Florentín,656,62
Gustavo Florentín,673,78
Gustavo Florentín,696,81
Gustavo Florentín,725,74
Gustavo Florentín,749,58
Guto Ferreira,4,45
Guto Ferreira,32,68
Guto Ferreira,53,65
Guto Ferreira,61,59
Guto Ferreira,84,71
Guto Ferreira,106,71
Guto Ferreira,135,55
Guto Ferreira,144,66
Guto Ferreira,162,78
Guto Ferreira,243,69
Guto Ferreira,271,62
Guto Ferreira,274,45
Guto Ferreira,297,74
Guto Ferreira,335,70
Guto Ferreira,343,77
Guto Ferreira,354,76
Guto Ferreira,360,76
Guto Ferreira,392,78
Guto Ferreira,406,71
Guto Ferreira,420,75
Guto Ferreira,453,70
Guto Ferreira,473,73
Guto Ferreira,483,45
Guto Ferreira,504,60
Guto Ferreira,529,62
Guto Ferreira,551,45
Guto Ferreira,615,66
Guto Ferreira,633,71
Guto Ferreira,659,59
Guto Ferreira,688,58
Guto Ferreira,707,45
Guto Ferreira,729,60
Guto Ferreira,753,79
Hernán Crespo,2,55
Hernán Crespo,28,58
Hernán Crespo,46,64
Hernán Crespo,83,61
Hernán Crespo,101,69
Hernán Crespo,107,61
Hernán Crespo,127,83
Hernán Crespo,148,58
Hernán Crespo,199,72
Hernán Crespo,203,58
Hernán Crespo,206,84
Hernán Crespo,231,77
Hernán Crespo,390,64
Hernán Crespo,402,58
Hernán Crespo,423,71
Hernán Crespo,441,64
Hernán Crespo,452,71
Hernán Crespo,474,45
Hernán Crespo,501,56
Hernán Crespo,517,76
Hernán Crespo,544,58
Hernán Crespo,552,58
Hernán Crespo,571,45
Hernán Crespo,598,64
Hernán Crespo,621,63
Jair Ventura,26,33
Jair Ventura,52,64
Jair Ventura,79,45
Jair Ventura,95,45
Jair Ventura,110,63
Jair Ventura,133,60
Jair Ventura,265,76
Jair Ventura,279,63
Jair Ventura,307,75
Jair Ventura,325,72
Jair Ventura,350,59
Jair Ventura,371,45
Jair Ventura,396,45
Jair Ventura,408,45
Jair Ventura,425,63
Jair Ventura,439,69
Jair Ventura,446,54
Jair Ventura,484,63
Jair Ventura,505,68
Jair Ventura,697,75
Jair Ventura,708,73
Jair Ventura,716,72
Jair Ventura,745,45
James Freitas,750,66
Jorginho,82,66
Jorginho,103,59
Jorginho,116,45
Jorginho,126,45
Jorginho,138,67
Jorginho,151,71
Jorginho,156,45
Jorginho,178,57
Jorginho,202,45
Jorginho,214,59
Jorginho,241,67
Jorginho,250,60
Jorginho,285,65
Jorginho,289,59
Jorginho,320,63
Jorginho,353,45
Jorginho,366,57
Jorginho,467,73
Jorginho,490,67
Jorginho,508,68
Jorginho,540,59
Jorginho,556,66
Jorginho,564,45
Jorginho,593,45
Jorginho,610,65
Jorginho,640,45
Jorginho,648,45
Jorginho,678,58
Jorginho,693,55
Jorginho,715,66
Jorginho,736,63
Jorginho,755,76
Juan Pablo Vojvoda,14,59
Juan Pablo Vojvoda,27,63
Juan Pablo Vojvoda,41,71
Juan Pablo Vojvoda,66,64
Juan Pablo Vojvoda,89,69
Juan Pablo Vojvoda,105,45
Juan Pablo Vojvoda,120,70
Juan Pablo Vojvoda,152,69
Juan Pablo Vojvoda,176,45
Juan Pablo Vojvoda,188,72
Juan Pablo Vojvoda,215,68
Juan Pablo Vojvoda,236,45
Juan Pablo Vojvoda,247,68
Juan Pablo Vojvoda,267,42
Juan Pablo Vojvoda,305,66
Juan Pablo Vojvoda,323,73
Juan Pablo Vojvoda,329,70
Juan Pablo Vojvoda,359,66
Juan Pablo Vojvoda,373,67
Juan Pablo Vojvoda,383,65
Juan Pablo Vojvoda,415,66
Juan Pablo Vojvoda,428,45
Juan Pablo Vojvoda,438,69
Juan Pablo Vojvoda,457,57
Juan Pablo Vojvoda,487,73
Juan Pablo Vojvoda,515,60
Juan Pablo Vojvoda,519,63
Juan Pablo Vojvoda,539,65
Juan Pablo Vojvoda,559,58
Juan Pablo Vojvoda,578,74
Juan Pablo Vojvoda,591,68
Juan Pablo Vojvoda,609,45
Juan Pablo Vojvoda,632,56
Juan Pablo Vojvoda,660,71
Juan Pablo Vojvoda,671,44
Juan Pablo Vojvoda,691,64
Juan Pablo Vojvoda,721,72
Juan Pablo Vojvoda,746,45
Lisca,15,63
Lisca,387,63
Lisca,401,53
Luiz Felipe Scolari,97,66
Luiz Felipe Scolari,117,61
Luiz Felipe Scolari,145,65
Luiz Felipe Scolari,158,83
Luiz Felipe Scolari,169,64
Luiz Felipe Scolari,187,72
Luiz Felipe Scolari,221,45
Luiz Felipe Scolari,230,45
Luiz Felipe Scolari,489,84
Luiz Felipe Scolari,509,75
Luiz Felipe Scolari,528,80
Luiz Felipe Scolari,536,28
Luiz Felipe Scolari,581,52
Luiz Felipe Scolari,592,45
Luiz Felipe Scolari,620,64
Luiz Fernando Iubel,75,45
Luiz Fernando Iubel,393,62
Luiz Fernando Iubel,413,45
Luiz Fernando Iubel,426,68
Luiz Fernando Iubel,444,71
Marcelo Cabo,309,69
Marcelo Cabo,331,62
Marcelo Cabo,336,33
Marcelo Cabo,349,45
Marcelo Cabo,378,62
Marcelo Cabo,701,72
Marcelo Cabo,738,71
Marcelo Cabo,747,66
Marcão,166,69
Marcão,175,80
Marcão,177,69
Marcão,191,70
Marcão,210,62
Marcão,229,61
Marcão,234,64
Marcão,266,71
Marcão,293,60
Marcão,315,45
Marcão,334,72
Marcão,340,67
Marcão,372,76
Marcão,561,66
Marcão,582,67
Marcão,628,67
Marcão,635,74
Marcão,655,69
Marcão,661,45
Marcão,680,68
Marcão,705,45
Marcão,726,68
Marcão,740,45
Marquinhos Santos,17,68
Marquinhos Santos,31,68
Marquinhos Santos,44,64
Marquinhos Santos,56,69
Marquinhos Santos,71,67
Marquinhos Santos,102,74
Marquinhos Santos,125,79
Marquinhos Santos,141,81
Marquinhos Santos,159,70
Marquinhos Santos,172,60
Marquinhos Santos,184,45
Marquinhos Santos,209,78
Marquinhos Santos,237,79
Marquinhos Santos,280,72
Marquinhos Santos,310,76
Marquinhos Santos,321,45
Marquinhos Santos,352,76
Marquinhos Santos,377,75
Marquinhos Santos,380,75
Marquinhos Santos,399,89
Marquinhos Santos,430,62
Marquinhos Santos,464,64
Marquinhos Santos,468,83
Marquinhos Santos,493,65
Marquinhos Santos,526,45
Marquinhos Santos,557,59
Marquinhos Santos,562,70
Marquinhos Santos,574,70
Marquinhos Santos,600,75
Marquinhos Santos,604,45
Marquinhos Santos,624,45
Marquinhos Santos,638,60
Marquinhos Santos,644,60
Marquinhos Santos,676,73
Marquinhos Santos,686,59
Marquinhos Santos,714,72
Marquinhos Santos,724,75
Marquinhos Santos,743,65
Maurício Barbieri,11,80
Maurício Barbieri,24,62
Maurício Barbieri,47,71
Maurício Barbieri,73,83
Maurício Barbieri,87,79
Maurício Barbieri,114,63
Maurício Barbieri,129,83
Maurício Barbieri,146,62
Maurício Barbieri,174,74
Maurício Barbieri,185,67
Maurício Barbieri,216,74
Maurício Barbieri,227,77
Maurício Barbieri,242,45
Maurício Barbieri,270,45
Maurício Barbieri,276,79
Maurício Barbieri,295,81
Maurício Barbieri,311,71
Maurício Barbieri,344,72
Maurício Barbieri,379,76
Maurício Barbieri,386,79
Maurício Barbieri,410,82
Maurício Barbieri,417,76
Maurício Barbieri,445,77
Maurício Barbieri,463,61
Maurício Barbieri,478,66
Maurício Barbieri,500,68
Maurício Barbieri,516,73
Maurício Barbieri,545,63
Maurício Barbieri,576,76
Maurício Barbieri,590,72
Maurício Barbieri,618,79
Maurício Barbieri,636,60
Maurício Barbieri,643,67
Maurício Barbieri,665,57
Maurício Barbieri,683,73
Maurício Barbieri,699,59
Maurício Barbieri,730,71
Maurício Barbieri,741,82
Maurício Ferreira De Souza,351,27
Maurício Ferreira De Souza,368,85
Maurício Ferreira De Souza,737,71
Maurício Ferreira De Souza,758,77
Miguel Ángel Ramírez,9,72
Miguel Ángel Ramírez,394,52
Mozart Batista,6,64
Osmar Loss Vieira,29,66
Osmar Loss Vieira,40,67
Osmar Loss Vieira,405,71
Paulo Autuori,7,59
Paulo Autuori,194,63
Paulo Autuori,599,77
Pintado,155,37
Pintado,181,45
Pintado,193,45
Pintado,218,45
Pintado,226,62
Pintado,246,74
Pintado,252,45
Pintado,525,65
Pintado,537,68
Pintado,547,69
Pintado,565,63
Pintado,584,62
Pintado,619,45
Pintado,651,45
Renato Gaúcho,104,69
Renato Gaúcho,121,80
Renato Gaúcho,143,71
Renato Gaúcho,150,76
Renato Gaúcho,201,64
Renato Gaúcho,219,72
Renato Gaúcho,244,62
Renato Gaúcho,260,73
Renato Gaúcho,278,82
Renato Gaúcho,290,65
Renato Gaúcho,308,65
Renato Gaúcho,326,45
Renato Gaúcho,492,63
Renato Gaúcho,510,73
Renato Gaúcho,542,82
Renato Gaúcho,548,62
Renato Gaúcho,569,64
Renato Gaúcho,587,60
Renato Gaúcho,607,77
Renato Gaúcho,616,73
Renato Gaúcho,646,64
Renato Gaúcho,667,82
Renato Gaúcho,679,73
Renato Gaúcho,694,45
Renato Gaúcho,712,77
Renato Gaúcho,717,57
Roger Machado,13,75
Roger Machado,34,77
Roger Machado,57,80
Roger Machado,67,68
Roger Machado,93,75
Roger Machado,109,69
Roger Machado,382,74
Roger Machado,404,62
Roger Machado,421,72
Roger Machado,429,45
Roger Machado,461,66
Roger Machado,480,67
Roger Machado,498,70
Roger Machado,522,64
Roger Machado,534,80
Rogério Ceni,5,86
Rogério Ceni,21,75
Rogério Ceni,37,[]
Rogério Ceni,48,65
Rogério Ceni,81,70
Rogério Ceni,251,78
Rogério Ceni,261,76
Rogério Ceni,283,63
Rogério Ceni,314,45
Rogério Ceni,339,45
Rogério Ceni,345,59
Rogério Ceni,365,76
Rogério Ceni,436,69
Rogério Ceni,455,56
Rogério Ceni,470,45
Rogério Ceni,650,45
Rogério Ceni,677,45
Rogério Ceni,685,70
Rogério Ceni,704,72
Rogério Ceni,735,45
Rogério Ceni,757,65
Sylvinho,8,72
Sylvinho,30,60
Sylvinho,51,82
Sylvinho,72,70
Sylvinho,78,70
Sylvinho,108,73
Sylvinho,130,45
Sylvinho,149,67
Sylvinho,182,75
Sylvinho,200,77
Sylvinho,205,71
Sylvinho,222,76
Sylvinho,248,78
Sylvinho,286,74
Sylvinho,291,59
Sylvinho,313,70
Sylvinho,333,78
Sylvinho,347,81
Sylvinho,362,76
Sylvinho,395,78
Sylvinho,400,79
Sylvinho,419,80
Sylvinho,437,63
Sylvinho,475,70
Sylvinho,485,45
Sylvinho,506,64
Sylvinho,520,80
Sylvinho,541,73
Sylvinho,549,64
Sylvinho,570,69
Sylvinho,596,74
Sylvinho,612,69
Sylvinho,641,73
Sylvinho,649,58
Sylvinho,682,68
Sylvinho,706,24
Sylvinho,722,57
Sylvinho,751,59
Thiago Gomes Pacheco,471,45
Thiago Gomes Pacheco,627,67
Tiago Nunes,23,72
Tiago Nunes,54,87
Tiago Nunes,58,64
Tiago Nunes,85,63
Tiago Nunes,197,58
Tiago Nunes,204,71
Tiago Nunes,223,67
Tiago Nunes,256,63
Tiago Nunes,262,78
Tiago Nunes,281,55
Tiago Nunes,298,65
Tiago Nunes,316,55
Tiago Nunes,342,62
Tiago Nunes,363,14
Tiago Nunes,384,45
Tiago Nunes,416,45
Tiago Nunes,451,45
Tiago Nunes,567,62
Tiago Nunes,613,45
Tiago Nunes,631,63
Tiago Nunes,645,45
Tiago Nunes,654,78
Tiago Nunes,681,45
Tiago Nunes,703,65
Tiago Nunes,711,64
Tiago Nunes,731,63
Tiago Nunes,756,69
Umberto Lourenço Louzer Filho ,18,45
Umberto Lourenço Louzer Filho ,36,61
Umberto Lourenço Louzer Filho ,64,45
Umberto Lourenço Louzer Filho ,80,55
Umberto Lourenço Louzer Filho ,100,67
Umberto Lourenço Louzer Filho ,124,66
Umberto Lourenço Louzer Filho ,136,82
Umberto Lourenço Louzer Filho ,164,64
Umberto Lourenço Louzer Filho ,389,45
Umberto Lourenço Louzer Filho ,407,63
Umberto Lourenço Louzer Filho ,424,68
Umberto Lourenço Louzer Filho ,431,45
Umberto Lourenço Louzer Filho ,450,74
Umberto Lourenço Louzer Filho ,472,63
Umberto Lourenço Louzer Filho ,495,66
Umberto Lourenço Louzer Filho ,512,66
Umberto Lourenço Louzer Filho ,530,55
Vágner Mancini,50,66
Vágner Mancini,63,82
Vágner Mancini,76,72
Vágner Mancini,99,64
Vágner Mancini,115,45
Vágner Mancini,142,69
Vágner Mancini,165,45
Vágner Mancini,171,69
Vágner Mancini,183,64
Vágner Mancini,207,65
Vágner Mancini,228,56
Vágner Mancini,258,66
Vágner Mancini,282,67
Vágner Mancini,300,62
Vágner Mancini,319,70
Vágner Mancini,337,60
Vágner Mancini,355,73
Vágner Mancini,374,74
Vágner Mancini,448,59
Vágner Mancini,469,56
Vágner Mancini,497,66
Vágner Mancini,514,45
Vágner Mancini,535,45
Vágner Mancini,580,72
Vágner Mancini,583,76
Vágner Mancini,594,60
Vágner Mancini,617,72
Vágner Mancini,629,65
Vágner Mancini,652,57
Vágner Mancini,668,75
Vágner Mancini,672,59
Vágner Mancini,690,45
Vágner Mancini,710,67
Vágner Mancini,723,45
Vágner Mancini,742,69
